주소,건물명,건축년도,면적,층,계약월,건물용도,월별평균 매매가,매매지수,월별평균 전세가,전세지수,2년매매가 평균,구,상세주소,기존 전세가,전세가율
송파구 오금동 2-0,대림,1988,85,2층 초과,2023-07-01,아파트,138333.33333333334,96.951,49466.66666666666,84.183,164777.51050370428,송파구,오금동 2-0,60000.0,36.41273606852506
금천구 가산동 535-7,G밸리 하우스디 어반,2019,19,2층 초과,2023-07-01,오피스텔,15000.0,89.195,14302.0,80.357,15681.219907145462,금천구,가산동 535-7,14610.714285714286,93.17332689822571
마포구 성산동 592-5,상암 우남퍼스트빌스타,2017,17,2층 초과,2023-07-01,오피스텔,14699.999999999998,93.358,14579.999999999998,86.975,16473.463559338863,마포구,성산동 592-5,16075.714285714284,97.58551520029864
서대문구 홍제동 57-5,서대문푸르지오센트럴파크,2022,55,2층 초과,2023-07-01,아파트,83100.0,89.097,49500.0,83.08,,서대문구,홍제동 57-5,,
마포구 상암동 1655-0,상암월드컵파크4단지,2006,85,2층 초과,2023-07-01,아파트,116100.0,93.358,61500.0,86.975,129776.89009068022,마포구,상암동 1655-0,51400.0,39.606435293745136
강서구 화곡동 1116-5,지엠벨리,2020,14,2층 초과,2023-07-01,아파트,13500.0,90.277,13000.0,81.465,17919.15573380246,강서구,화곡동 1116-5,18500.0,103.24147116541793
성동구 성수동2가 277-37,성원상떼뷰오피스텔,2003,28,2층 초과,2023-07-01,오피스텔,16700.0,94.874,13500.0,84.774,15839.372478617663,성동구,성수동2가 277-37,14150.137449777963,89.33521494541479
강북구 미아동 1354-0,벽산라이브파크,2004,115,2층 초과,2023-07-01,아파트,70000.0,86.831,40500.0,81.235,80646.64607639803,강북구,미아동 1354-0,38500.0,47.7391210584607
강북구 미아동 1354-0,벽산라이브파크,2004,60,2층 초과,2023-07-01,아파트,49500.0,86.831,30000.0,81.235,60858.6482300293,강북구,미아동 1354-0,32171.42857142857,52.862542148207496
강북구 미아동 1354-0,벽산라이브파크,2004,85,2층 초과,2023-07-01,아파트,61099.99999999999,86.831,35000.0,81.235,66061.59496572046,강북구,미아동 1354-0,32700.0,49.49925901269583
광진구 광장동 570-0,상록타워아파트,1997,59,2층 초과,2023-07-01,아파트,91000.0,92.052,37500.0,83.777,97455.5805393902,광진구,광장동 570-0,40800.0,41.865226982573056
양천구 신정동 1279-0,목동현대3차,1997,85,2층 초과,2023-07-01,아파트,130000.0,94.465,64000.00000000001,81.59,148403.5519802696,양천구,신정동 1279-0,61375.0,41.35682682861921
서초구 우면동 788-0,엘에이치서초4단지,2013,60,2층 초과,2023-07-01,아파트,108500.0,102.799,52500.0,84.425,82360.40610421561,서초구,우면동 788-0,72000.0,87.42064713582646
동작구 신대방동 710-0,경남교수,2001,85,2층 초과,2023-07-01,아파트,92000.0,96.056,59000.0,83.141,109064.97136304923,동작구,신대방동 710-0,70000.0,64.18192672236442
성동구 응봉동 100-0,대림(1차),1986,114,2층 초과,2023-07-01,아파트,133900.0,94.874,59499.99999999999,84.774,154335.04810822435,성동구,응봉동 100-0,61005.67599606196,39.528076573561535
성동구 응봉동 100-0,대림(1차),1986,114,2층 이하,2023-07-01,아파트,126000.0,94.874,55500.0,84.774,143932.9937793331,성동구,응봉동 100-0,63928.29954988974,44.415319845218846
성동구 응봉동 100-0,대림(1차),1986,76,2층 초과,2023-07-01,아파트,118750.0,94.874,38666.66666666666,84.774,123239.57193376058,성동구,응봉동 100-0,47400.0,38.46167205569067
성동구 응봉동 100-0,대림(1차),1986,63,2층 초과,2023-07-01,아파트,84500.0,94.874,34666.666666666664,84.774,120250.9210388796,성동구,응봉동 100-0,40000.0,33.263778484546634
양천구 신정동 311-0,목동신시가지10,1987,70,2층 초과,2023-07-01,아파트,136750.0,94.465,44093.333333333336,81.59,147465.3917684277,양천구,신정동 311-0,45925.0,31.142900343775796
양천구 신정동 311-0,목동신시가지10,1987,106,2층 초과,2023-07-01,아파트,183000.0,94.465,68666.66666666667,81.59,193627.09865862527,양천구,신정동 311-0,81100.0,41.88463317471051
양천구 신정동 311-0,목동신시가지10,1987,54,2층 초과,2023-07-01,아파트,111500.0,94.465,30000.0,81.59,124703.73532911703,양천구,신정동 311-0,39128.88888888889,31.377479420019185
노원구 상계동 720-0,상계주공6(고층),1988,58,2층 초과,2023-07-01,아파트,60999.99999999999,88.952,21025.0,83.126,74937.31290399638,노원구,상계동 720-0,28319.23076923077,37.790560765784434
강동구 명일동 257-0,고덕주공9,1985,84,2층 초과,2023-07-01,아파트,116000.0,94.01,40971.42857142857,85.841,131459.31663368942,강동구,명일동 257-0,42504.16666666666,32.33256322570446
도봉구 도봉동 595-0,럭키,1992,85,2층 초과,2023-07-01,아파트,52500.00000000001,85.441,29500.0,83.071,62581.2953802379,도봉구,도봉동 595-0,32000.0,51.133489336663764
송파구 오금동 135-0,송파두산위브,2019,60,2층 초과,2023-07-01,아파트,84000.0,96.951,59499.99999999999,84.183,103850.41253543283,송파구,오금동 135-0,61374.14166666667,59.098601698598316
송파구 오금동 135-0,송파두산위브,2019,85,2층 초과,2023-07-01,아파트,104000.0,96.951,70000.0,84.183,134606.81159581448,송파구,오금동 135-0,85000.0,63.14687867002641
성동구 하왕십리동 258-0,청계벽산,1996,85,2층 초과,2023-07-01,아파트,98250.0,94.874,45000.0,84.774,118505.85823125794,성동구,하왕십리동 258-0,57450.0,48.478616042667994
마포구 성산동 590-1,상암 두산위브센티움,2013,23,2층 초과,2023-07-01,오피스텔,13700.0,93.358,13499.999999999998,86.975,15058.200422427659,마포구,성산동 590-1,16300.0,108.24666655201911
